Summary,Issue key,Issue id,Issue Type,Project key,Project name,Creator,Created,Updated,Description,Priority,Status,Labels
Add Total Time input to Inspections,PQRH-11,11,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,"Pilot enters current aircraft total time; app compares against fixed inspection due dates/times and reports which inspections are current, which are due soon, and hours/days remaining to each. Migrated from EsencIA ESE-43 on 2026-07-07.",High,Todo,"Phase 1: Quick Wins, Feature"
Add aviation quotes ticker to home screen,PQRH-12,12,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,Rotating/fading quote bar near the bottom of the front page. Include the provided aviation quotes list from the backlog appendix. Migrated from EsencIA ESE-44 on 2026-07-07.,Medium,Todo,"Phase 1: Quick Wins, Feature"
"Pilot profile setup (name, phone, email) with autofill",PQRH-13,13,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,"First name, last name, phone, and email stored and auto-filled into flight planning. Migrated from EsencIA ESE-45 on 2026-07-07.",Medium,Backlog,"Phase 2: Foundational, Feature"
Fuel calculator: bidirectional Jet-A conversion (gal/lbs/kg/liters),PQRH-14,14,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,Place as the second calculator option right under CX-3. Also embed the same calculator inside Weight & Balance. Migrated from EsencIA ESE-46 on 2026-07-07.,High,Backlog,"Phase 2: Foundational, Feature"
"Placeholder aircraft image + ""describe to AI"" editor",PQRH-15,15,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,"Generic symbol for aircraft with no photo, deliberately not shaped like any real aircraft, plus a describe-your-aircraft-to-AI editor option. 3D-model-from-photos is a stretch goal, not near-term. Migrated from EsencIA ESE-47 on 2026-07-07.",Medium,Backlog,"Phase 2: Foundational, Feature"
Add acronym reference section,PQRH-16,16,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,General aviation acronyms reference section. Migrated from EsencIA ESE-48 on 2026-07-07.,Medium,Backlog,"Phase 2: Foundational, Feature"
"Home screen nav restructure: Quick Reference, Air Law, Regulations",PQRH-17,17,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,"Keep the main grid at 4 buttons. Rename the 4th button currently References to Quick Reference and keep it prominent/full-size. Quick Reference houses lost-comm procedures, light gun signals, and marshalling signal images. Air Law and Regulations become secondary smaller buttons. Reserve 2 more blank button slots for later. Migrated from EsencIA ESE-68 on 2026-07-07.",Medium,Backlog,"Phase 2: Foundational, Feature"
Global currency status indicator (green/yellow/red),PQRH-18,18,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,"The Currency button/icon on the home screen should change color based on the pilot's overall status: green when every tracked item is current, yellow when something is approaching due date, red when anything is expired. Migrated from EsencIA ESE-69 on 2026-07-07.",High,Backlog,"Phase 2: Foundational, Feature"
Checklist redesign: horizontal book-page flow with green completion state,PQRH-19,19,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,"New checklist flow: horizontal book-page style, left to right through sections: En Route, Performance, Airport, Aircraft, Pilot. Section turns green on completion. Interactive, clear directional flow. Migrated from EsencIA ESE-49 on 2026-07-07.",High,Backlog,"Phase 3: Checklist Redesign, Feature"
Add Weight & Balance to flight plan checklist,PQRH-20,20,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,"Blocked/waiting on ForeFlight reference format. Product direction: Aircraft Page owns aircraft-specific W&B setup; Flight Planning Checklist uses that truth for per-flight people, baggage/cargo, fuel, total weight, CG, and envelope graph. Do not use generic model profiles as authoritative data. Migrated from EsencIA ESE-50 on 2026-07-07.",Medium,Backlog,"Phase 3: Checklist Redesign, Feature, Blocked"
"Add customizable ""Aircraft Checklist"" section",PQRH-21,21,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,Pilot-entered custom check items. Still deciding whether this should be its own section or folded into the existing Aircraft section. Migrated from EsencIA ESE-51 on 2026-07-07.,Medium,Backlog,"Phase 3: Checklist Redesign, Feature, Needs Clarification"
"Flight plan ""one-pager"": stage-blocked, printable + interactive",PQRH-22,22,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,"After finishing all checklists, generate a single page broken into stages: Takeoff, En Route, Landing. Printable and interactive in-app; tapping the current phase highlights only that stage's info. Ties in FBO frequency from the checklist. Needs follow-up pass to decide exact fields per stage. Migrated from EsencIA ESE-52 on 2026-07-07.",Medium,Backlog,"Phase 4: One-Pager & Weather, Feature, Needs Clarification"
Home screen weather widget tappable → METAR/TAF,PQRH-23,23,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,"Home screen weather widget should be tappable, showing METAR/TAF for the airport. Depends on weather indicator bug fix. Reference ForeFlight-style airport weather page with flight category dot, wind, visibility, cloud layers, trend, raw METAR/TAF, and tabs/sub-tabs. Migrated from EsencIA ESE-53 on 2026-07-07.",Medium,Backlog,"Phase 4: One-Pager & Weather, Feature, Blocked"
"Weather explanation section (legend, cloud types, fronts)",PQRH-24,24,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,"Add chart/legend reference, cloud types, and what warm/cold fronts bring. Include in-app key for weather overlay colors so pilots can understand map layers without leaving the app. Migrated from EsencIA ESE-54 on 2026-07-07.",Low,Backlog,"Phase 4: One-Pager & Weather, Feature"
"Map overlays: icing, turbulence, current + projected radar",PQRH-25,25,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,"Map overlays for route/altitude selection in the flight plan checklist. Include flight category, ceiling, visibility, sky coverage, AIRMET/SIGMET/CWA, icing/turbulence, and current/projected radar concepts with aviation color coding and legend. Migrated from EsencIA ESE-55 on 2026-07-07.",Low,Backlog,"Phase 4: One-Pager & Weather, Feature"
Research: Canada/US digital flight planning services,PQRH-26,26,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,Research how Canada/US flight planning services currently handle digital flight plan filing. This informs the Flight Plan/Itinerary Filed feature and one-pager format. Migrated from EsencIA ESE-56 on 2026-07-07.,Low,Backlog,Phase 4: One-Pager & Weather
AI route weather briefing with altitude/routing suggestions,PQRH-27,27,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,"Best-guess weather along the route by altitude/time. Suggest altitude/routing around icing, TFRs, turbulence, and explain reasoning. Migrated from EsencIA ESE-57 on 2026-07-07.",Low,Backlog,"Phase 5: AI / Advanced, Feature"
AI alternate airport suggestion (approach-aware),PQRH-28,28,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,AI alternate airport suggestion that accounts for actual alternate minimums tied to intended approach type. Also include takeoff alternate suggestion for IFR departures from airports with non-precision approaches only. Migrated from EsencIA ESE-58 on 2026-07-07.,Low,Backlog,"Phase 5: AI / Advanced, Feature"
Takeoff run / accelerate-stop / landing distance calculator (POH-based),PQRH-29,29,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,"Pilot inputs weight, weather, runway; app computes wind component and returns takeoff run, accelerate-stop, and landing distance. Blocked on defining POH input methodology: how charts are read and corrected for weight, pressure altitude, temperature, wind, runway surface/slope, etc. Migrated from EsencIA ESE-59 on 2026-07-07.",Medium,Backlog,"Phase 5: AI / Advanced, Feature, Blocked"
VFR/IFR fuel minimums logic (airplane vs. helicopter),PQRH-30,30,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,VFR and IFR fuel minimums differ between airplanes and helicopters. Build the differing logic into the flight plan checklist. Migrated from EsencIA ESE-60 on 2026-07-07.,Medium,Backlog,"Phase 5: AI / Advanced, Feature"
Airworthiness Directives (A/Ds) + Service Bulletins by make/model/year,PQRH-31,31,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,Tied to the specific aircraft profile. Needs a data source and depends on aircraft make/model/year. Migrated from EsencIA ESE-61 on 2026-07-07.,Low,Backlog,"Phase 5: AI / Advanced, Feature"
Logbook feature (ForeFlight reference),PQRH-32,32,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,Blocked/waiting on ForeFlight reference screenshots from Diego. Same blocker as Weight & Balance checklist item. Migrated from EsencIA ESE-62 on 2026-07-07.,Medium,Backlog,"Phase 5: AI / Advanced, Feature, Blocked"
Weather indicator (top of app) not working,PQRH-33,33,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,Blocked and handed off for fix. Likely root cause: a new weather dashboard component was swapped in recently and disconnected the existing runway wind-component display. Related to runway wind / best-runway analysis. Migrated from EsencIA ESE-63 on 2026-07-07.,High,Backlog,"Bug, Blocked"
FAA NOTAM integration — blocked on login.gov credentials,PQRH-34,34,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,"NotamSection component and Cloudflare Worker are built, but Diego's login.gov account is blocked. Need to register at api.faa.gov for FAA OAuth credentials. Fix: email login.gov support or create a new login.gov account, then register free at api.faa.gov. Migrated from EsencIA ESE-64 on 2026-07-07.",Medium,Backlog,"Feature, Blocked"
"Runway wind / ""best runway"" analysis — restore + verify full spec",PQRH-35,35,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,"Used to work, currently disconnected, likely same root cause as weather indicator bug. For current airport, show every runway direction separately and compute headwind/tailwind plus crosswind from current METAR. Green=headwind, red=tailwind. Best runway is whichever face has wind mostly behind the nose. Planning only, not ATC assignment. Migrated from EsencIA ESE-67 on 2026-07-07.",High,Backlog,"Phase 4: One-Pager & Weather, Bug, Blocked"
