Title,Description,Status,Priority,Labels,Project
"Add acronym reference section","General aviation acronyms reference section. Migrated from EsencIA ESE-48 on 2026-07-07.","Backlog","Medium","Phase 2: Foundational, Feature","PQRH App"
"Home screen nav restructure: Quick Reference, Air Law, Regulations","Keep the main grid at 4 buttons. Rename the 4th button currently References to Quick Reference and keep it prominent/full-size. Quick Reference houses lost-comm procedures, light gun signals, and marshalling signal images. Air Law and Regulations become secondary smaller buttons. Reserve 2 more blank button slots for later. Migrated from EsencIA ESE-68 on 2026-07-07.","Backlog","Medium","Phase 2: Foundational, Feature","PQRH App"
"Global currency status indicator (green/yellow/red)","The Currency button/icon on the home screen should change color based on the pilot's overall status: green when every tracked item is current, yellow when something is approaching due date, red when anything is expired. Migrated from EsencIA ESE-69 on 2026-07-07.","Backlog","High","Phase 2: Foundational, Feature","PQRH App"
"Checklist redesign: horizontal book-page flow with green completion state","New checklist flow: horizontal book-page style, left to right through sections: En Route, Performance, Airport, Aircraft, Pilot. Section turns green on completion. Interactive, clear directional flow. Migrated from EsencIA ESE-49 on 2026-07-07.","Backlog","High","Phase 3: Checklist Redesign, Feature","PQRH App"
"Add Weight & Balance to flight plan checklist","Blocked/waiting on ForeFlight reference format. Product direction: Aircraft Page owns aircraft-specific W&B setup; Flight Planning Checklist uses that truth for per-flight people, baggage/cargo, fuel, total weight, CG, and envelope graph. Do not use generic model profiles as authoritative data. Migrated from EsencIA ESE-50 on 2026-07-07.","Backlog","Medium","Phase 3: Checklist Redesign, Feature, Blocked","PQRH App"
"Add customizable ""Aircraft Checklist"" section","Pilot-entered custom check items. Still deciding whether this should be its own section or folded into the existing Aircraft section. Migrated from EsencIA ESE-51 on 2026-07-07.","Backlog","Medium","Phase 3: Checklist Redesign, Feature, Needs Clarification","PQRH App"
"Flight plan ""one-pager"": stage-blocked, printable + interactive","After finishing all checklists, generate a single page broken into stages: Takeoff, En Route, Landing. Printable and interactive in-app; tapping the current phase highlights only that stage's info. Ties in FBO frequency from the checklist. Needs follow-up pass to decide exact fields per stage. Migrated from EsencIA ESE-52 on 2026-07-07.","Backlog","Medium","Phase 4: One-Pager & Weather, Feature, Needs Clarification","PQRH App"
"Home screen weather widget tappable → METAR/TAF","Home screen weather widget should be tappable, showing METAR/TAF for the airport. Depends on weather indicator bug fix. Reference ForeFlight-style airport weather page with flight category dot, wind, visibility, cloud layers, trend, raw METAR/TAF, and tabs/sub-tabs. Migrated from EsencIA ESE-53 on 2026-07-07.","Backlog","Medium","Phase 4: One-Pager & Weather, Feature, Blocked","PQRH App"
"Weather explanation section (legend, cloud types, fronts)","Add chart/legend reference, cloud types, and what warm/cold fronts bring. Include in-app key for weather overlay colors so pilots can understand map layers without leaving the app. Migrated from EsencIA ESE-54 on 2026-07-07.","Backlog","Low","Phase 4: One-Pager & Weather, Feature","PQRH App"
"Map overlays: icing, turbulence, current + projected radar","Map overlays for route/altitude selection in the flight plan checklist. Include flight category, ceiling, visibility, sky coverage, AIRMET/SIGMET/CWA, icing/turbulence, and current/projected radar concepts with aviation color coding and legend. Migrated from EsencIA ESE-55 on 2026-07-07.","Backlog","Low","Phase 4: One-Pager & Weather, Feature","PQRH App"
"Research: Canada/US digital flight planning services","Research how Canada/US flight planning services currently handle digital flight plan filing. This informs the Flight Plan/Itinerary Filed feature and one-pager format. Migrated from EsencIA ESE-56 on 2026-07-07.","Backlog","Low","Phase 4: One-Pager & Weather","PQRH App"
"AI route weather briefing with altitude/routing suggestions","Best-guess weather along the route by altitude/time. Suggest altitude/routing around icing, TFRs, turbulence, and explain reasoning. Migrated from EsencIA ESE-57 on 2026-07-07.","Backlog","Low","Phase 5: AI / Advanced, Feature","PQRH App"
"AI alternate airport suggestion (approach-aware)","AI alternate airport suggestion that accounts for actual alternate minimums tied to intended approach type. Also include takeoff alternate suggestion for IFR departures from airports with non-precision approaches only. Migrated from EsencIA ESE-58 on 2026-07-07.","Backlog","Low","Phase 5: AI / Advanced, Feature","PQRH App"
"Takeoff run / accelerate-stop / landing distance calculator (POH-based)","Pilot inputs weight, weather, runway; app computes wind component and returns takeoff run, accelerate-stop, and landing distance. Blocked on defining POH input methodology: how charts are read and corrected for weight, pressure altitude, temperature, wind, runway surface/slope, etc. Migrated from EsencIA ESE-59 on 2026-07-07.","Backlog","Medium","Phase 5: AI / Advanced, Feature, Blocked","PQRH App"
"VFR/IFR fuel minimums logic (airplane vs. helicopter)","VFR and IFR fuel minimums differ between airplanes and helicopters. Build the differing logic into the flight plan checklist. Migrated from EsencIA ESE-60 on 2026-07-07.","Backlog","Medium","Phase 5: AI / Advanced, Feature","PQRH App"
"Airworthiness Directives (A/Ds) + Service Bulletins by make/model/year","Tied to the specific aircraft profile. Needs a data source and depends on aircraft make/model/year. Migrated from EsencIA ESE-61 on 2026-07-07.","Backlog","Low","Phase 5: AI / Advanced, Feature","PQRH App"
"Logbook feature (ForeFlight reference)","Blocked/waiting on ForeFlight reference screenshots from Diego. Same blocker as Weight & Balance checklist item. Migrated from EsencIA ESE-62 on 2026-07-07.","Backlog","Medium","Phase 5: AI / Advanced, Feature, Blocked","PQRH App"
"Weather indicator (top of app) not working","Blocked and handed off for fix. Likely root cause: a new weather dashboard component was swapped in recently and disconnected the existing runway wind-component display. Related to runway wind / best-runway analysis. Migrated from EsencIA ESE-63 on 2026-07-07.","Backlog","High","Bug, Blocked","PQRH App"
"FAA NOTAM integration — blocked on login.gov credentials","NotamSection component and Cloudflare Worker are built, but Diego's login.gov account is blocked. Need to register at api.faa.gov for FAA OAuth credentials. Fix: email login.gov support or create a new login.gov account, then register free at api.faa.gov. Migrated from EsencIA ESE-64 on 2026-07-07.","Backlog","Medium","Feature, Blocked","PQRH App"
"Runway wind / ""best runway"" analysis — restore + verify full spec","Used to work, currently disconnected, likely same root cause as weather indicator bug. For current airport, show every runway direction separately and compute headwind/tailwind plus crosswind from current METAR. Green=headwind, red=tailwind. Best runway is whichever face has wind mostly behind the nose. Planning only, not ATC assignment. Migrated from EsencIA ESE-67 on 2026-07-07.","Backlog","High","Phase 4: One-Pager & Weather, Bug, Blocked","PQRH App"
